Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Tunisia,  0.3,  0.4,  0.3,  0.5,  0.3,  0.3,  0.3,  0.3,  0.4,  0.3,  0.3,  0.2,  0.2,  0.3,  0.3,  0.3,  0.3,  0.3,  0.4,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.3,  0.2,  0.3,  0.3,  0.3,  0.2,  0.1,-,-,-,-,-
Zambia,  2.0,  2.2,  2.2,  1.8,  1.9,  1.8,  1.6,  1.6,  1.2,  1.4,  1.1,  1.2,  1.1,  1.1,  1.1,  1.2,  1.0,  1.2,  1.1,  0.9,  0.8,  0.8,  0.8,  0.4,  0.3,  0.4,  0.5,  0.5,  0.3,  0.3,  0.3,  0.3,  0.3,  0.2,  0.3,  0.1,  0.0,  0.0
Zimbabwe,  5.6,  5.0,  6.0,  5.8,  5.0,  6.1,  5.0,  5.2,  5.3,  6.1,  6.0,  6.1,  5.9,  6.3,  7.5,  8.7,  11.9,  11.5,  12.0,  13.4,  14.9,  14.9,  13.4,  11.8,  11.2,  10.6,  9.6,  9.8,  10.4,  9.7,  9.4,  9.0,  8.1,  7.8,  8.3,  7.9,  7.4,  6.9
Other Africa,  0.5,  0.5,  0.5,  0.5,  0.7,  1.0,  1.2,  1.3,  1.4,  0.7,  0.7,  0.8,  0.8,  0.9,  0.9,  1.0,  1.0,  1.0,  1.1,  1.1,  0.9,  0.9,  0.8,  1.0,  1.1,  0.9,  1.0,  1.3,  1.4,  1.7,  2.0,  1.8,  1.6,  1.9,  1.8,  2.2,  2.7,  2.9
Africa,  160.7,  157.5,  170.3,  175.6,  190.0,  203.6,  202.6,  177.5,  184.7,  193.7,  199.7,  197.0,  191.0,  202.6,  208.4,  208.4,  224.9,  222.7,  230.4,  235.5,  234.6,  234.4,  237.2,  239.5,  254.2,  262.7,  273.2,  285.9,  267.7,  276.8,  263.6,  273.5,  295.3,  308.9,  301.1,  302.1,  309.8,  304.3
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Islamic Rep. of Iran,  0.7,  1.1,  1.9,  2.1,  3.8,  3.8,  3.8,  2.3,  3.4,  3.5,  3.0,  4.0,  3.8,  2.9,  2.9,  2.8,  2.8,  2.9,  2.1,  2.1,  3.0,  2.6,  3.3,  3.3,  3.1,  3.3,  3.4,  3.9,  3.8,  3.8,  3.5,  3.8,  3.7,  3.2,  3.7,  4.0,  4.7,  3.7
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Israel,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.2,  4.1,  6.6,  7.2,  7.9,  8.5,  8.4,  9.0,  8.9,  9.7,  11.8,  13.5,  14.3,  15.7,  18.6,  20.6,  22.1,  21.7,  24.4,  27.4,  29.5,  30.4,  30.4,  30.1,  29.9,  31.3,  29.6
Jordan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lebanon,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,-,-,-,-,-,-,-,-,  0.3,  0.3,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5
Oman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Syrian Arab Republic ,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yemen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
